provinces,iso,comunidadiso,Fecha,Fase
La Coruña,C,GA,14/03/2020,EDA
Álava,VI,PV,14/03/2020,EDA
Albacete,AB,CM,14/03/2020,EDA
Alicante,A,VC,14/03/2020,EDA
Almería,AL,AN,14/03/2020,EDA
Asturias,O,AS,14/03/2020,EDA
Ávila,AV,CL,14/03/2020,EDA
Badajoz,BA,EX,14/03/2020,EDA
Baleares,PM,IB,14/03/2020,EDA
Barcelona,B,CT,14/03/2020,EDA
Vizcaya,BI,PV,14/03/2020,EDA
Burgos,BU,CL,14/03/2020,EDA
Cáceres,CC,EX,14/03/2020,EDA
Cádiz,CA,AN,14/03/2020,EDA
Cantabria,S,CB,14/03/2020,EDA
Castellón,CS,VC,14/03/2020,EDA
Ciudad Real,CR,CM,14/03/2020,EDA
Córdoba,CO,AN,14/03/2020,EDA
Cuenca,CU,CM,14/03/2020,EDA
Guipúzcoa,SS,PV,14/03/2020,EDA
Gerona,GI,CT,14/03/2020,EDA
Granada,GR,AN,14/03/2020,EDA
Guadalajara,GU,CM,14/03/2020,EDA
Huelva,H,AN,14/03/2020,EDA
Huesca,HU,AR,14/03/2020,EDA
Jaén,J,AN,14/03/2020,EDA
La Rioja,LO,RI,14/03/2020,EDA
Las Palmas,GC,CN,14/03/2020,EDA
León,LE,CL,14/03/2020,EDA
Lérida,L,CT,14/03/2020,EDA
Lugo,LU,GA,14/03/2020,EDA
Madrid,M,MD,14/03/2020,EDA
Málaga,MA,AN,14/03/2020,EDA
Murcia,MU,MC,14/03/2020,EDA
Navarra,NA,NC,14/03/2020,EDA
Orense,OR,GA,14/03/2020,EDA
Palencia,P,CL,14/03/2020,EDA
Pontevedra,PO,GA,14/03/2020,EDA
Salamanca,SA,CL,14/03/2020,EDA
Santa Cruz de Tenerife,TF,CN,14/03/2020,EDA
Segovia,SG,CL,14/03/2020,EDA
Sevilla,SE,AN,14/03/2020,EDA
Soria,SO,CL,14/03/2020,EDA
Tarragona,T,CT,14/03/2020,EDA
Teruel,TE,AR,14/03/2020,EDA
Toledo,TO,CM,14/03/2020,EDA
Valencia,V,VC,14/03/2020,EDA
Valladolid,VA,CL,14/03/2020,EDA
Zamora,ZA,CL,14/03/2020,EDA
Zaragoza,Z,AR,14/03/2020,EDA
Ceuta,CE,CE,14/03/2020,EDA
Melilla,ME,ME,14/03/2020,EDA
La Coruña,C,GA,11/05/2020,1
Álava,VI,PV,11/05/2020,1
Albacete,AB,CM,11/05/2020,0
Alicante,A,VC,11/05/2020,1
Almería,AL,AN,11/05/2020,1
Asturias,O,AS,11/05/2020,1
Ávila,AV,CL,11/05/2020,0
Badajoz,BA,EX,11/05/2020,1
Baleares,PM,IB,11/05/2020,1
Barcelona,B,CT,11/05/2020,0
Vizcaya,BI,PV,11/05/2020,1
Burgos,BU,CL,11/05/2020,0
Cáceres,CC,EX,11/05/2020,1
Cádiz,CA,AN,11/05/2020,1
Cantabria,S,CB,11/05/2020,1
Castellón,CS,VC,11/05/2020,0
Ciudad Real,CR,CM,11/05/2020,0
Córdoba,CO,AN,11/05/2020,1
Cuenca,CU,CM,11/05/2020,1
Guipúzcoa,SS,PV,11/05/2020,1
Gerona,GI,CT,11/05/2020,0
Granada,GR,AN,11/05/2020,0
Guadalajara,GU,CM,11/05/2020,1
Huelva,H,AN,11/05/2020,1
Huesca,HU,AR,11/05/2020,1
Jaén,J,AN,11/05/2020,1
La Rioja,LO,RI,11/05/2020,1
Las Palmas,GC,CN,11/05/2020,1
León,LE,CL,11/05/2020,0
