,Fecha,Provincia,Casos,Fase,Poblacion,Nombre
0,2020-01-01,A,0,0.0,1858683,Alicante
1,2020-01-01,AB,0,0.0,388167,Albacete
2,2020-01-01,AL,0,0.0,716820,Almería
3,2020-01-01,AV,0,0.0,157640,Ávila
4,2020-01-01,B,1,0.0,5664579,Barcelona
5,2020-01-01,BA,0,0.0,673559,Badajoz
6,2020-01-01,BI,0,0.0,1152651,Vizcaya
7,2020-01-01,BU,0,0.0,356958,Burgos
8,2020-01-01,C,0,0.0,1119596,La Coruña
9,2020-01-01,CA,0,0.0,1240155,Cádiz
10,2020-01-01,CC,0,0.0,394151,Cáceres
11,2020-01-01,CE,0,0.0,84777,Ceuta
12,2020-01-01,CO,0,0.0,782979,Córdoba
13,2020-01-01,CR,0,0.0,495761,Ciudad Real
14,2020-01-01,CS,1,0.0,579962,Castellón
15,2020-01-01,CU,0,0.0,196329,Cuenca
16,2020-01-01,GC,0,0.0,1120406,Las Palmas
17,2020-01-01,GI,0,0.0,771044,Gerona
18,2020-01-01,GR,0,0.0,914678,Granada
19,2020-01-01,GU,0,0.0,257762,Guadalajara
20,2020-01-01,H,0,0.0,521870,Huelva
21,2020-01-01,HU,0,0.0,220461,Huesca
22,2020-01-01,J,0,0.0,633564,Jaén
23,2020-01-01,L,0,0.0,434930,Lérida
24,2020-01-01,LE,0,0.0,460001,León
25,2020-01-01,LO,0,0.0,316798,La Rioja
26,2020-01-01,LU,0,0.0,329587,Lugo
27,2020-01-01,M,2,0.0,6663394,Madrid
28,2020-01-01,MA,0,0.0,1661785,Málaga
29,2020-01-01,ME,0,0.0,86487,Melilla
30,2020-01-01,MU,0,0.0,1493898,Murcia
31,2020-01-01,NA,0,0.0,654214,Navarra
32,2020-01-01,O,0,0.0,1022800,Asturias
33,2020-01-01,OR,0,0.0,307651,Orense
34,2020-01-01,P,0,0.0,160980,Palencia
35,2020-01-01,PM,0,0.0,1149460,Baleares
36,2020-01-01,PO,0,0.0,942665,Pontevedra
37,2020-01-01,S,0,0.0,581078,Cantabria
38,2020-01-01,SA,0,0.0,330119,Salamanca
39,2020-01-01,SE,0,0.0,1942389,Sevilla
40,2020-01-01,SG,0,0.0,153129,Segovia
41,2020-01-01,SO,0,0.0,88636,Soria
42,2020-01-01,SS,0,0.0,723576,Guipúzcoa
43,2020-01-01,T,0,0.0,804664,Tarragona
44,2020-01-01,TE,0,0.0,134137,Teruel
45,2020-01-01,TF,0,0.0,1032983,Santa Cruz de Tenerife
46,2020-01-01,TO,0,0.0,694844,Toledo
47,2020-01-01,V,0,0.0,2565124,Valencia
48,2020-01-01,VA,0,0.0,519546,Valladolid
49,2020-01-01,VI,0,0.0,331549,Álava
50,2020-01-01,Z,0,0.0,964693,Zaragoza
51,2020-01-01,ZA,0,0.0,172539,Zamora
52,2020-01-02,A,0,0.0,1858683,Alicante
53,2020-01-02,AB,0,0.0,388167,Albacete
54,2020-01-02,AL,1,0.0,716820,Almería
55,2020-01-02,AV,0,0.0,157640,Ávila
56,2020-01-02,B,0,0.0,5664579,Barcelona
57,2020-01-02,BA,0,0.0,673559,Badajoz
58,2020-01-02,BI,0,0.0,1152651,Vizcaya
59,2020-01-02,BU,0,0.0,356958,Burgos
60,2020-01-02,C,0,0.0,1119596,La Coruña
61,2020-01-02,CA,0,0.0,1240155,Cádiz
62,2020-01-02,CC,0,0.0,394151,Cáceres
63,2020-01-02,CE,0,0.0,84777,Ceuta
64,2020-01-02,CO,0,0.0,782979,Córdoba
65,2020-01-02,CR,0,0.0,495761,Ciudad Real
